timestamp	x	y	z
2030	-0.644	-2.733	8.893
2040	-0.208	-3.628	9.587
2050	-0.462	-3.59	9.757
2060	-1.261	-3.456	9.151
2070	-1.031	-3.147	8.972
2080	-2.619	-2.618	9.508
2090	-2.626	-2.733	8.936
2100	-4.446	-2.093	10.343
2110	-4.414	-1.066	10.343
2120	-4.06	-0.303	10.343
2130	-3.375	0.037	10.343
2140	-3.339	0.093	9.692
2150	-3.023	0.057	8.936
2160	-2.624	-0.111	8.023
2170	-1.544	0.334	7.183
2180	-0.574	0.65	6.065
2190	-0.076	1.23	4.681
2200	0.352	2.111	3.269
2210	0.561	3.408	1.952
2220	0.644	4.457	0.843
2230	0.609	5.496	-0.562
2240	0.922	6.049	-1.79
2250	1.303	6.545	-3.081
2260	1.818	6.964	-4.436
2270	2.086	7.565	-5.348
2280	2.402	8.106	-5.607
2290	2.268	8.479	-5.805
2300	2.273	8.86	-6.054
2310	2.431	8.788	-6.476
2320	2.402	8.451	-7.022
2330	2.117	8.441	-7.151
2340	1.712	8.187	-7.386
2350	1.688	7.706	-7.592
2360	1.703	7.196	-7.728
2370	2.184	6.545	-7.017
2380	1.602	5.731	-7.192
2390	1.729	5.113	-7.244
2400	1.715	4.505	-6.926
2410	1.535	4.337	-6.854
2420	0.802	4.383	-6.531
2430	1.128	3.581	-6.497
2440	0.599	3.622	-6.028
2450	-0.033	3.071	-5.738
2460	0.094	2.934	-4.79
2470	0.185	2.817	-3.222
2480	0.036	2.468	-2.93
2490	0.202	1.807	-1.776
2500	-0.27	1.491	0.455
2510	-0.66	1.649	2.89
2520	-1.91	1.929	4.645
2530	-0.78	1.687	6.836
2540	-0.715	2.056	6.273
2550	-0.957	1.979	8.047
2560	-1.197	1.383	8.89
2570	-1.094	1.598	8.584
2580	-0.964	1.984	8.644
2590	-0.543	1.658	9.041
2600	-0.28	1.096	9.046
2610	-0.809	0.282	9.381
2620	-1.063	-0.597	10.003
2630	-1.082	-1.476	10.343
2640	-1.015	-1.921	10.252
2650	-0.016	-2.702	9.766
2660	0.173	-2.575	8.703
2670	0.027	-1.926	7.312
2680	0.802	-1.916	7.286
2690	-0.129	-0.762	6.338
2700	-1.099	6.059	7.995
2710	-1.534	-0.868	4.923
2720	-1.501	0.816	4.631
2730	-0.845	1.29	3.707
2740	1.059	2.01	0.941
2750	-5.832	6.248	2.555
2760	6.429	2.331	-1.951
2770	-2.87	5.025	-1.793
2780	0.352	6.025	-3.399
2790	-0.033	4.723	-1.841
2800	0.805	4.974	-3.373
2810	1.023	5.853	-4.41
2820	0.874	5.7	-4.268
2830	1.181	5.934	-5.451
2840	0.755	5.903	-5.525
2850	0.769	5.681	-6.373
2860	0.544	5.549	-6.842
2870	0.395	5.18	-6.912
2880	0.326	5.041	-7.352
2890	0.111	4.852	-7.098
2900	-0.004	4.649	-5.59
2910	0.508	3.047	-5.829
2920	-0.024	3.346	-6.624
2930	0.13	3.004	-6.871
2940	-0.61	3.045	-6.998
2950	-0.215	2.822	-7.007
2960	0.084	2.573	-6.737
2970	0.151	2.489	-6.505
2980	0.486	2.468	-6.579
2990	1.116	2.037	-6.251
3000	1.43	1.869	-5.489
3010	1.277	2.025	-4.134
3020	1.054	1.646	-2.585
3030	1.77	1.299	-1.805
3040	2.675	1.096	-0.335
3050	3.07	0.686	1.188
3060	-0.474	1.95	3.302
3070	2.213	0.334	5.33
3080	1.492	-1.449	8.478
3090	0.553	-3.027	10.128
3100	0.285	-3.592	10.049
3110	-0.15	-4.954	10.343
3120	0.111	-6.164	10.343
3130	0.3	-7.485	10.343
3140	0.218	-8.591	10.343
3150	0.331	-8.701	10.343
3160	0.769	-8.567	10.343
3170	0.692	-7.911	9.79
3180	0.448	-6.386	9.163
3190	0.415	-4.705	8.196
3200	-0.055	-3.894	7.298
3210	-0.194	-2.599	6.178
3220	0.314	-1.569	6.132
3230	-1.379	0.002	4.432
3240	-0.289	1.615	3.182
3250	-0.375	1.898	2.809
3260	-1.57	3.562	0.527
3270	1.102	4.211	-2.609
3280	0.75	4.584	-2.353
3290	-1.692	6.856	-4.618
3300	-0.404	5.939	-3.766
3310	-0.498	5.882	-3.641
3320	-0.517	5.666	-2.832
3330	-0.519	6.121	-3.373
3340	-0.715	3.808	-3.857
3350	-1.343	7.084	-4.728
3360	-1	7.131	-5.679
3370	-0.979	7.361	-6.806
3380	-0.917	7.359	-7.644
3390	-0.804	7.349	-8.362
3400	-0.816	7.352	-8.904
3410	-1.058	7.304	-9.5
