timestamp	x	y	z
1970	1.926	-1.769	-1.26
1980	1.184	-1.183	-1.457
1990	0.154	-0.608	-1.004
2000	0.794	-0.625	-0.657
2010	1.16	-1.293	-0.834
2020	0.995	-0.357	-0.815
2030	0.197	-0.086	-0.887
2040	-0.018	-0.455	-0.92
2050	-0.145	-0.601	-0.374
2060	-0.097	-0.381	0.44
2070	0.427	0.168	1.352
2080	0.305	1.192	2.539
2090	0.303	1.333	3.475
2100	0.396	0.321	3.945
2110	0.648	0.347	4.57
2120	0.798	0.948	5.228
2130	1.33	2.076	6.281
2140	0.442	2.179	6.885
2150	0.774	1.233	6.293
2160	0.763	1.925	6.636
2170	-0.439	2.626	6.473
2180	-0.48	2.526	6.016
2190	0.202	3.469	6.085
2200	0.078	3.033	6.468
2210	-0.631	2.107	6.748
2220	-0.279	2.339	6.478
2230	0.2	2.713	6.114
2240	-0.454	3.5	6.382
2250	-0.976	4.762	6.834
2260	-0.212	5.152	7.167
2270	0.391	4.513	7.301
2280	0.162	4.197	7.648
2290	-0.097	4.233	7.83
2300	-0.511	4.444	7.536
2310	-0.949	3.517	7.048
2320	-1.146	3.383	6.353
2330	-1.419	4.403	6.181
2340	-1.89	4.819	6.296
2350	-1.9	4.712	6.346
2360	-1.62	5.231	6.569
2370	-1.478	5.65	7.174
2380	-0.842	5.162	7.672
2390	0.348	3.742	7.639
2400	0.468	3.084	7.237
2410	-0.466	3.579	7.189
2420	-0.851	5.097	6.585
2430	-0.868	6.009	6.02
2440	-1.153	6.227	5.642
2450	-1.105	6.639	5.01
2460	-0.775	7.264	4.476
2470	-1.055	7.599	4.016
2480	-1.062	7.381	3.49
2490	-0.978	7.175	2.817
2500	-1.529	8.473	2.733
2510	-2.003	10.439	2.906
2520	-1.641	10.91	3.037
2530	-0.842	10.683	2.853
2540	-0.624	10.776	2.439
2550	-0.971	10.664	2.005
2560	-1.893	9.658	1.175
2570	-3.315	9.483	0.475
2580	-3.183	10.132	0.092
2590	-2.975	10.173	0.179
2600	-2.424	9.713	0.253
2610	-1.455	9.677	-0.092
2620	-1.416	9.869	-0.65
2630	-2.034	8.818	-1.27
2640	-2.994	7.015	-2.065
2650	-4.778	6.984	-1.777
2660	-4.706	7.87	-1.387
2670	-4.067	8.217	-1.349
2680	-3.844	8.942	-1.612
2690	-3.504	9.428	-2.73
2700	-3.968	8.14	-2.331
2710	-2.91	6.347	-3.906
2720	-4.143	4.053	-5.017
2730	-4.909	3.567	-5.189
2740	-4.962	5.452	-6.13
2750	-5.845	6.888	-6.573
2760	-5.953	6.974	-6.049
2770	-5.331	7.42	-5.711
2780	-5.407	8.155	-5.903
2790	-6.437	8.214	-6.03
2800	-6.432	7.853	-6.25
2810	-5.654	7.463	-6.968
2820	-5.541	7.645	-7.749
2830	-5.853	7.568	-8.115
2840	-4.931	6.907	-8.912
2850	-4.342	6.45	-9.767
2860	-4.857	5.6	-9.25
2870	-3.729	4.578	-8.907
2880	-3.092	3.285	-8.055
2890	-2.853	3.026	-7.294
2900	-2.338	3.361	-6.492
2910	-2.072	3.122	-5.941
2920	-1.634	2.6	-5.577
2930	-1.342	1.877	-5.479
2940	-0.758	1.384	-5.594
2950	-0.504	1.3	-5.728
2960	-0.035	0.431	-5.125
2970	1.277	0.177	-4.734
2980	1.438	0.33	-4.677
2990	0.707	-1.444	-5.132
3000	0.602	-1.71	-5.484
3010	1.126	-1.125	-6.056
3020	1.289	-1.508	-6.353
3030	1.409	-2.322	-6.523
3040	2.01	-2.986	-6.463
3050	2.041	-3.843	-5.931
3060	1.763	-3.309	-5.081
